b'    Time,      Link,Lane,     VehNo,   VehType,      Line,DesSpeed,\r\n',datetime
2013.3,334,2,233,105,0,109.5,\r\n',2026-04-06 16:19:08.300
2015.3,421,1,234,1177,0,7.8,\r\n',2026-04-06 16:19:10.300
2023.2,988,1,235,101,0,96.6,\r\n',2026-04-06 16:19:18.200
2045.4,334,1,236,100,0,105.6,\r\n',2026-04-06 16:19:40.400
2053.0,988,1,237,101,0,106.5,\r\n',2026-04-06 16:19:48.000
2056.5,334,1,238,105,0,110.1,\r\n',2026-04-06 16:19:51.500
2072.8,327,1,239,1177,0,7.2,\r\n',2026-04-06 16:20:07.800
2075.1,988,1,240,101,0,106.6,\r\n',2026-04-06 16:20:10.100
2078.8,334,1,241,105,0,108.0,\r\n',2026-04-06 16:20:13.800
2087.9,334,2,242,105,0,103.6,\r\n',2026-04-06 16:20:22.900
2116.8,334,1,243,101,0,105.3,\r\n',2026-04-06 16:20:51.800
2134.5,334,1,244,105,0,125.7,\r\n',2026-04-06 16:21:09.500
2137.4,334,2,245,100,0,102.7,\r\n',2026-04-06 16:21:12.400
2156.5,55,1,246,100,0,104.8,\r\n',2026-04-06 16:21:31.500
2158.7,334,1,247,101,0,93.5,\r\n',2026-04-06 16:21:33.700
2173.1,852,1,248,101,0,100.0,\r\n',2026-04-06 16:21:48.100
2203.7,907,1,249,100,0,97.5,\r\n',2026-04-06 16:22:18.700
2205.1,852,1,250,100,0,105.9,\r\n',2026-04-06 16:22:20.100
2213.7,334,1,251,101,0,108.1,\r\n',2026-04-06 16:22:28.700
2215.5,55,1,252,100,0,101.8,\r\n',2026-04-06 16:22:30.500
2218.3,988,1,253,105,0,111.3,\r\n',2026-04-06 16:22:33.300
2219.7,334,2,254,100,0,116.6,\r\n',2026-04-06 16:22:34.700
2239.0,334,1,255,100,0,108.4,\r\n',2026-04-06 16:22:54.000
2242.1,988,1,256,105,0,109.0,\r\n',2026-04-06 16:22:57.100
2255.0,334,1,257,100,0,115.2,\r\n',2026-04-06 16:23:10.000
2265.8,334,1,258,101,0,100.1,\r\n',2026-04-06 16:23:20.800
2265.9,988,1,259,101,0,102.8,\r\n',2026-04-06 16:23:20.900
2273.4,988,1,260,101,0,112.2,\r\n',2026-04-06 16:23:28.400
2274.6,334,2,261,100,0,104.2,\r\n',2026-04-06 16:23:29.600
2281.0,55,1,262,101,0,105.9,\r\n',2026-04-06 16:23:36.000
2300.9,334,1,263,109,0,109.3,\r\n',2026-04-06 16:23:55.900
2301.8,334,2,264,100,0,116.9,\r\n',2026-04-06 16:23:56.800
2301.0,327,1,266,1177,0,6.3,\r\n',2026-04-06 16:23:56.000
2302.8,334,1,265,101,0,119.3,\r\n',2026-04-06 16:23:57.800
2308.6,334,2,267,104,0,103.7,\r\n',2026-04-06 16:24:03.600
2324.4,334,1,268,101,0,106.3,\r\n',2026-04-06 16:24:19.400
2324.6,55,1,269,100,0,125.7,\r\n',2026-04-06 16:24:19.600
2324.8,55,2,270,200,0,46.6,\r\n',2026-04-06 16:24:19.800
2329.2,334,2,271,101,0,123.6,\r\n',2026-04-06 16:24:24.200
2329.3,988,1,272,101,0,114.2,\r\n',2026-04-06 16:24:24.300
2345.5,334,1,273,105,0,112.4,\r\n',2026-04-06 16:24:40.500
2347.9,334,2,274,100,0,105.9,\r\n',2026-04-06 16:24:42.900
2351.0,988,1,275,100,0,105.2,\r\n',2026-04-06 16:24:46.000
2354.1,334,1,276,100,0,102.1,\r\n',2026-04-06 16:24:49.100
2362.9,334,2,277,101,0,101.0,\r\n',2026-04-06 16:24:57.900
2365.5,55,1,278,107,0,102.0,\r\n',2026-04-06 16:25:00.500
2366.2,334,1,279,102,0,111.8,\r\n',2026-04-06 16:25:01.200
2376.9,988,1,280,101,0,108.3,\r\n',2026-04-06 16:25:11.900
2385.8,988,1,281,101,0,105.4,\r\n',2026-04-06 16:25:20.800
2392.3,162,1,282,1180,0,34.0,\r\n',2026-04-06 16:25:27.300
2396.8,421,1,283,1177,0,6.4,\r\n',2026-04-06 16:25:31.800
2403.0,988,1,284,101,0,113.2,\r\n',2026-04-06 16:25:38.000
2409.6,334,1,285,100,0,109.9,\r\n',2026-04-06 16:25:44.600
2412.7,55,1,286,101,0,111.0,\r\n',2026-04-06 16:25:47.700
2413.5,334,2,287,101,0,103.1,\r\n',2026-04-06 16:25:48.500
2417.9,334,1,288,101,0,116.7,\r\n',2026-04-06 16:25:52.900
2418.2,334,2,289,101,0,88.0,\r\n',2026-04-06 16:25:53.200
2425.2,334,1,290,101,0,114.0,\r\n',2026-04-06 16:26:00.200
2427.8,334,2,291,108,0,100.0,\r\n',2026-04-06 16:26:02.800
2439.4,55,1,292,200,0,52.5,\r\n',2026-04-06 16:26:14.400
2442.0,334,1,293,102,0,91.3,\r\n',2026-04-06 16:26:17.000
2450.3,55,2,294,100,0,114.2,\r\n',2026-04-06 16:26:25.300
2468.4,988,1,295,101,0,102.8,\r\n',2026-04-06 16:26:43.400
2476.5,55,1,296,101,0,103.0,\r\n',2026-04-06 16:26:51.500
2506.2,334,1,297,109,0,107.3,\r\n',2026-04-06 16:27:21.200
2507.3,334,2,298,100,0,89.7,\r\n',2026-04-06 16:27:22.300
2511.4,852,1,299,101,0,88.7,\r\n',2026-04-06 16:27:26.400
2519.7,988,1,300,101,0,116.4,\r\n',2026-04-06 16:27:34.700
2523.4,988,1,301,105,0,97.7,\r\n',2026-04-06 16:27:38.400
2531.1,988,1,302,100,0,106.2,\r\n',2026-04-06 16:27:46.100
2535.7,421,1,303,1177,0,5.7,\r\n',2026-04-06 16:27:50.700
2546.8,55,1,304,200,0,43.0,\r\n',2026-04-06 16:28:01.800
2546.8,361,1,305,400,0,23.4,\r\n',2026-04-06 16:28:01.800
2554.2,334,1,306,101,0,108.9,\r\n',2026-04-06 16:28:09.200
2562.6,988,1,307,100,0,103.7,\r\n',2026-04-06 16:28:17.600
2582.1,988,1,308,100,0,106.8,\r\n',2026-04-06 16:28:37.100
2583.4,334,1,309,100,0,102.4,\r\n',2026-04-06 16:28:38.400
2607.4,988,1,310,100,0,98.8,\r\n',2026-04-06 16:29:02.400
2618.3,988,1,311,100,0,104.3,\r\n',2026-04-06 16:29:13.300
2619.9,334,1,312,105,0,103.9,\r\n',2026-04-06 16:29:14.900
2627.7,988,1,313,101,0,118.1,\r\n',2026-04-06 16:29:22.700
2630.9,334,1,314,108,0,106.2,\r\n',2026-04-06 16:29:25.900
2637.0,55,1,315,100,0,115.9,\r\n',2026-04-06 16:29:32.000
2637.6,988,1,316,101,0,89.7,\r\n',2026-04-06 16:29:32.600
2642.7,334,1,317,100,0,99.0,\r\n',2026-04-06 16:29:37.700
2661.8,334,1,318,107,0,102.4,\r\n',2026-04-06 16:29:56.800
2668.4,334,2,319,100,0,102.0,\r\n',2026-04-06 16:30:03.400
2671.0,55,1,320,105,0,107.3,\r\n',2026-04-06 16:30:06.000
2676.8,334,1,321,105,0,109.2,\r\n',2026-04-06 16:30:11.800
2692.7,852,1,322,101,0,127.7,\r\n',2026-04-06 16:30:27.700
2693.6,55,2,323,100,0,118.1,\r\n',2026-04-06 16:30:28.600
2697.8,988,1,324,101,0,111.1,\r\n',2026-04-06 16:30:32.800
2700.6,334,1,325,101,0,92.4,\r\n',2026-04-06 16:30:35.600
2700.4,988,1,326,101,0,101.9,\r\n',2026-04-06 16:30:35.400
2714.4,55,1,327,108,0,106.3,\r\n',2026-04-06 16:30:49.400
2723.3,421,1,328,1177,0,7.3,\r\n',2026-04-06 16:30:58.300
2731.7,55,2,329,100,0,115.7,\r\n',2026-04-06 16:31:06.700
2737.8,907,1,330,105,0,101.9,\r\n',2026-04-06 16:31:12.800
2738.2,55,1,331,101,0,107.9,\r\n',2026-04-06 16:31:13.200
2744.8,988,1,332,101,0,103.9,\r\n',2026-04-06 16:31:19.800
2752.4,334,1,333,100,0,113.9,\r\n',2026-04-06 16:31:27.400
2760.8,988,1,334,101,0,105.0,\r\n',2026-04-06 16:31:35.800
2770.2,852,1,335,101,0,92.8,\r\n',2026-04-06 16:31:45.200
2776.3,334,1,336,101,0,107.8,\r\n',2026-04-06 16:31:51.300
2793.1,334,1,337,101,0,105.3,\r\n',2026-04-06 16:32:08.100
2798.4,334,2,338,101,0,128.0,\r\n',2026-04-06 16:32:13.400
2814.4,334,1,339,105,0,128.0,\r\n',2026-04-06 16:32:29.400
2815.4,334,2,340,101,0,105.1,\r\n',2026-04-06 16:32:30.400
